tabk(0)=18991.817240+(5758.358556i);    // Vec_kaLpi=0.050000
tabk(85)=792166.101010+(98458.584457i);    // Vec_kaLpi=2.607004
tabk(86)=822265.127420+(55106.986885i);    // Vec_kaLpi=2.731139
tabk(87)=892469.310280+(39183.646143i);    // Vec_kaLpi=2.861184
tabk(88)=940640.766590+(51791.137032i);    // Vec_kaLpi=2.997421
tabk(89)=988773.158400+(40927.992497i);    // Vec_kaLpi=3.140146
tabk(90)=1052510.775900+(49152.267875i);    // Vec_kaLpi=3.289666
tabk(91)=1098459.664600+(61961.998675i);    // Vec_kaLpi=3.446306
tabk(92)=1150043.310500+(68396.709084i);    // Vec_kaLpi=3.610405
tabk(93)=1282360.172500+(-103646.404190i);    // Vec_kaLpi=3.782317
tabk(94)=1247396.694100+(74433.372388i);    // Vec_kaLpi=3.962414
tabk(95)=1304653.116900+(79031.633403i);    // Vec_kaLpi=4.151088
tabk(96)=1374359.240500+(75771.159154i);    // Vec_kaLpi=4.348745
tabk(97)=1434258.316900+(98330.483247i);    // Vec_kaLpi=4.555814
tabk(98)=1517471.947200+(42055.825335i);    // Vec_kaLpi=4.772742
tabk(99)=1535140.274900+(99729.366971i);    // Vec_kaLpi=5.000000
