tabk(0)=491171.319040+(848929.089080i);    // Vec_kaLpi=0.050000
tabk(42)=565002.609080+(815280.005650i);    // Vec_kaLpi=0.352740
tabk(43)=563547.768490+(810941.041540i);    // Vec_kaLpi=0.369536
tabk(44)=559963.713840+(805561.615940i);    // Vec_kaLpi=0.387132
tabk(45)=564539.439500+(794072.244500i);    // Vec_kaLpi=0.405565
tabk(46)=563572.724420+(787067.557990i);    // Vec_kaLpi=0.424877
tabk(47)=570631.407230+(780196.750230i);    // Vec_kaLpi=0.445108
tabk(48)=580416.301060+(793024.181210i);    // Vec_kaLpi=0.466302
tabk(49)=170889.711040+(12302.911018i);    // Vec_kaLpi=0.488505
tabk(50)=179029.191100+(12707.543593i);    // Vec_kaLpi=0.511766
tabk(51)=187589.047050+(13161.032024i);    // Vec_kaLpi=0.536134
tabk(52)=196604.418760+(13673.303028i);    // Vec_kaLpi=0.561662
tabk(53)=206132.005900+(14278.810764i);    // Vec_kaLpi=0.588406
tabk(54)=216204.917540+(15001.410458i);    // Vec_kaLpi=0.616423
tabk(55)=226890.850380+(15903.085415i);    // Vec_kaLpi=0.645775
tabk(56)=238273.601340+(17088.862472i);    // Vec_kaLpi=0.676524
tabk(57)=250476.426870+(18774.612263i);    // Vec_kaLpi=0.708737
tabk(58)=263508.532840+(21373.504748i);    // Vec_kaLpi=0.742484
tabk(59)=277064.868020+(25825.586157i);    // Vec_kaLpi=0.777838
tabk(60)=289151.789820+(32901.761199i);    // Vec_kaLpi=0.814875
tabk(61)=297425.112510+(40264.291306i);    // Vec_kaLpi=0.853676
tabk(62)=302889.431540+(44970.846891i);    // Vec_kaLpi=0.894325
tabk(63)=307291.577210+(46037.772978i);    // Vec_kaLpi=0.936909
tabk(64)=317204.906130+(-43486.551114i);    // Vec_kaLpi=0.981520
tabk(65)=318863.320850+(33208.332932i);    // Vec_kaLpi=1.028256
tabk(66)=337395.633840+(18302.742259i);    // Vec_kaLpi=1.077217
tabk(67)=362979.004000+(14750.599845i);    // Vec_kaLpi=1.128510
tabk(68)=385596.318780+(14783.057412i);    // Vec_kaLpi=1.182245
tabk(69)=407420.881820+(15380.850750i);    // Vec_kaLpi=1.238538
tabk(0)=18957.729101+(5709.480018i);    // Vec_kaLpi=0.050000
tabk(1)=19790.476669+(5752.247040i);    // Vec_kaLpi=0.052381
tabk(2)=20663.526475+(5799.163061i);    // Vec_kaLpi=0.054875
tabk(3)=21580.406824+(5842.465113i);    // Vec_kaLpi=0.057488
tabk(4)=22540.776897+(5888.316603i);    // Vec_kaLpi=0.060225
tabk(5)=23547.231431+(5936.123224i);    // Vec_kaLpi=0.063093
tabk(6)=24602.313224+(5985.410357i);    // Vec_kaLpi=0.066097
tabk(7)=25706.500057+(6036.116629i);    // Vec_kaLpi=0.069244
tabk(8)=26863.656777+(6091.703790i);    // Vec_kaLpi=0.072541
tabk(9)=28078.787823+(6148.628405i);    // Vec_kaLpi=0.075996
tabk(10)=29349.295838+(6205.690817i);    // Vec_kaLpi=0.079614
tabk(11)=30679.596134+(6267.156992i);    // Vec_kaLpi=0.083405
tabk(12)=32073.590772+(6331.096760i);    // Vec_kaLpi=0.087376
tabk(13)=33532.910441+(6397.599595i);    // Vec_kaLpi=0.091537
tabk(14)=35061.139202+(6467.133981i);    // Vec_kaLpi=0.095896
tabk(15)=36660.550779+(6539.853850i);    // Vec_kaLpi=0.100462
tabk(16)=529917.943050+(824278.551970i);    // Vec_kaLpi=0.105245
tabk(17)=543850.991270+(848604.524980i);    // Vec_kaLpi=0.110257
tabk(18)=537785.849480+(833003.556340i);    // Vec_kaLpi=0.115506
tabk(19)=531709.595810+(825319.907300i);    // Vec_kaLpi=0.121006
tabk(20)=535008.156030+(823978.493800i);    // Vec_kaLpi=0.126768
tabk(21)=537434.845150+(825838.432510i);    // Vec_kaLpi=0.132804
tabk(22)=545102.303130+(821167.906540i);    // Vec_kaLpi=0.139128
tabk(23)=542880.187940+(824975.334980i);    // Vec_kaLpi=0.145753
tabk(24)=540441.380760+(825286.677950i);    // Vec_kaLpi=0.152693
tabk(25)=540081.543590+(823719.329290i);    // Vec_kaLpi=0.159963
tabk(26)=541334.059700+(821909.685160i);    // Vec_kaLpi=0.167580
tabk(27)=543692.312430+(820136.696160i);    // Vec_kaLpi=0.175560
tabk(28)=546961.986970+(818455.506050i);    // Vec_kaLpi=0.183919
tabk(29)=550837.431420+(816605.471470i);    // Vec_kaLpi=0.192676
tabk(30)=547949.388540+(821069.568320i);    // Vec_kaLpi=0.201851
tabk(31)=551721.852660+(818373.367360i);    // Vec_kaLpi=0.211462
tabk(32)=555364.783240+(813386.036940i);    // Vec_kaLpi=0.221531
tabk(33)=543539.317990+(819088.781540i);    // Vec_kaLpi=0.232079
tabk(34)=545731.481710+(817819.343840i);    // Vec_kaLpi=0.243130
tabk(35)=547890.519380+(816429.515760i);    // Vec_kaLpi=0.254707
tabk(36)=550008.067730+(814964.099470i);    // Vec_kaLpi=0.266835
tabk(37)=552105.492220+(813433.677580i);    // Vec_kaLpi=0.279541
tabk(38)=554146.406670+(811819.923400i);    // Vec_kaLpi=0.292851
tabk(39)=556127.244450+(810126.735810i);    // Vec_kaLpi=0.306795
tabk(40)=558049.987360+(808377.563340i);    // Vec_kaLpi=0.321404
tabk(41)=559900.837710+(806528.750230i);    // Vec_kaLpi=0.336708
tabk(42)=561657.697690+(804561.295120i);    // Vec_kaLpi=0.352740
tabk(43)=563339.570040+(802448.415960i);    // Vec_kaLpi=0.369536
tabk(44)=564961.413540+(800180.022620i);    // Vec_kaLpi=0.387132
tabk(45)=566556.220580+(797741.723440i);    // Vec_kaLpi=0.405565
tabk(46)=568113.337980+(795133.548430i);    // Vec_kaLpi=0.424877
tabk(47)=569663.197140+(792349.282500i);    // Vec_kaLpi=0.445108
tabk(48)=571197.031030+(789399.415960i);    // Vec_kaLpi=0.466302
tabk(49)=572740.586050+(786278.499690i);    // Vec_kaLpi=0.488505
tabk(50)=574277.336550+(782977.495880i);    // Vec_kaLpi=0.511766
tabk(51)=575807.681340+(779504.382730i);    // Vec_kaLpi=0.536134
tabk(52)=577333.861540+(775838.915570i);    // Vec_kaLpi=0.561662
tabk(53)=578856.061710+(771990.164120i);    // Vec_kaLpi=0.588406
tabk(54)=570429.705140+(778038.283080i);    // Vec_kaLpi=0.616423
tabk(55)=572070.395900+(774028.184400i);    // Vec_kaLpi=0.645775
tabk(56)=573651.765920+(769761.139210i);    // Vec_kaLpi=0.676524
tabk(57)=575192.269860+(765237.375920i);    // Vec_kaLpi=0.708737
tabk(58)=576644.986190+(760412.652740i);    // Vec_kaLpi=0.742484
tabk(59)=577977.557360+(755245.681140i);    // Vec_kaLpi=0.777838
tabk(60)=579177.843900+(749712.653560i);    // Vec_kaLpi=0.814875
tabk(61)=580194.965610+(743733.137040i);    // Vec_kaLpi=0.853676
tabk(62)=580995.180940+(737251.308830i);    // Vec_kaLpi=0.894325
tabk(63)=581516.299320+(730155.027890i);    // Vec_kaLpi=0.936909
tabk(64)=581695.136830+(722312.100560i);    // Vec_kaLpi=0.981520
tabk(65)=581484.058170+(713542.279320i);    // Vec_kaLpi=1.028256
tabk(66)=580863.421300+(703615.627840i);    // Vec_kaLpi=1.077217
tabk(67)=579829.671670+(692245.615160i);    // Vec_kaLpi=1.128510
tabk(68)=578462.628460+(679107.150510i);    // Vec_kaLpi=1.182245
tabk(69)=576904.330590+(663862.787310i);    // Vec_kaLpi=1.238538
tabk(70)=607249.846820+(618476.789900i);    // Vec_kaLpi=1.297512
tabk(71)=609708.239150+(598316.075930i);    // Vec_kaLpi=1.359294
tabk(72)=651324.595150+(560374.753190i);    // Vec_kaLpi=1.424018
tabk(73)=617036.504070+(555630.340440i);    // Vec_kaLpi=1.491824
tabk(74)=622945.754000+(555072.351800i);    // Vec_kaLpi=1.562858
tabk(75)=625045.509150+(501510.613080i);    // Vec_kaLpi=1.637275
tabk(76)=629964.629030+(467043.920150i);    // Vec_kaLpi=1.715235
tabk(77)=644157.252940+(429700.857310i);    // Vec_kaLpi=1.796907
tabk(78)=659072.990030+(379673.932500i);    // Vec_kaLpi=1.882468
tabk(79)=765574.507480+(254304.499850i);    // Vec_kaLpi=1.972103
tabk(80)=702601.602830+(108020.536020i);    // Vec_kaLpi=2.066006
tabk(81)=688912.878400+(79002.053034i);    // Vec_kaLpi=2.164381
tabk(82)=741917.868040+(57667.461806i);    // Vec_kaLpi=2.267439
tabk(83)=795563.811440+(89039.559496i);    // Vec_kaLpi=2.375405
tabk(84)=-1121621.677000+(143660.544720i);    // Vec_kaLpi=2.488512
tabk(85)=839655.436100+(-200376.587900i);    // Vec_kaLpi=2.607004
tabk(86)=816314.370380+(50007.369886i);    // Vec_kaLpi=2.731139
tabk(87)=891321.875350+(36803.179703i);    // Vec_kaLpi=2.861184
tabk(88)=939413.253080+(49790.305689i);    // Vec_kaLpi=2.997421
tabk(89)=989524.449340+(38132.443850i);    // Vec_kaLpi=3.140146
tabk(90)=1054795.930200+(48323.378087i);    // Vec_kaLpi=3.289666
tabk(91)=1099572.869100+(59869.851384i);    // Vec_kaLpi=3.446306
tabk(92)=1154783.436100+(68082.282172i);    // Vec_kaLpi=3.610405
tabk(93)=1197508.477200+(80423.831247i);    // Vec_kaLpi=3.782317
tabk(94)=1247624.855400+(76092.866968i);    // Vec_kaLpi=3.962414
tabk(95)=1300702.190700+(-41890.900757i);    // Vec_kaLpi=4.151088
tabk(96)=1612984.772700+(467617.311240i);    // Vec_kaLpi=4.348745
tabk(97)=753497.018110+(2702280.410400i);    // Vec_kaLpi=4.555814
tabk(98)=1490095.058600+(13890.653491i);    // Vec_kaLpi=4.772742
tabk(99)=1925133.647400+(226877.027860i);    // Vec_kaLpi=5.000000
