tabk(0)=497333.058760+(841634.243240i);    // Vec_kaLpi=0.050000
tabk(51)=187589.336400+(13161.082928i);    // Vec_kaLpi=0.536134
tabk(52)=196602.229360+(13676.921078i);    // Vec_kaLpi=0.561662
tabk(53)=206132.618950+(14279.046485i);    // Vec_kaLpi=0.588406
tabk(54)=216205.255380+(15001.628680i);    // Vec_kaLpi=0.616423
tabk(55)=226891.672030+(15903.472406i);    // Vec_kaLpi=0.645775
tabk(56)=238274.363540+(17089.253063i);    // Vec_kaLpi=0.676524
tabk(57)=250475.575080+(18770.070349i);    // Vec_kaLpi=0.708737
tabk(58)=263508.732470+(21371.037566i);    // Vec_kaLpi=0.742484
tabk(59)=277066.073200+(25825.016955i);    // Vec_kaLpi=0.777838
tabk(60)=289152.532890+(32903.126757i);    // Vec_kaLpi=0.814875
tabk(61)=297425.387700+(40265.135481i);    // Vec_kaLpi=0.853676
tabk(62)=302890.706890+(44971.634320i);    // Vec_kaLpi=0.894325
tabk(63)=307282.340880+(46030.994568i);    // Vec_kaLpi=0.936909
tabk(64)=317032.237440+(-43188.189976i);    // Vec_kaLpi=0.981520
tabk(65)=318862.284190+(33208.067638i);    // Vec_kaLpi=1.028256
tabk(66)=337395.963820+(18302.815559i);    // Vec_kaLpi=1.077217
tabk(67)=362979.602840+(14750.785177i);    // Vec_kaLpi=1.128510
tabk(68)=385596.965300+(14783.492641i);    // Vec_kaLpi=1.182245
tabk(69)=407427.714810+(15386.894520i);    // Vec_kaLpi=1.238538
tabk(0)=18957.727799+(5709.476040i);    // Vec_kaLpi=0.050000
tabk(1)=19790.474976+(5752.241342i);    // Vec_kaLpi=0.052381
tabk(2)=20663.531762+(5799.248349i);    // Vec_kaLpi=0.054875
tabk(3)=21580.412790+(5842.398874i);    // Vec_kaLpi=0.057488
tabk(4)=22540.549064+(5888.223640i);    // Vec_kaLpi=0.060225
tabk(5)=23547.162736+(5936.100437i);    // Vec_kaLpi=0.063093
tabk(6)=24602.308613+(5985.334799i);    // Vec_kaLpi=0.066097
tabk(7)=25706.500018+(6036.152213i);    // Vec_kaLpi=0.069244
tabk(8)=26863.451975+(6092.002666i);    // Vec_kaLpi=0.072541
tabk(9)=28078.679372+(6148.477092i);    // Vec_kaLpi=0.075996
tabk(10)=29349.214312+(6205.704745i);    // Vec_kaLpi=0.079614
tabk(11)=30679.569816+(6267.199512i);    // Vec_kaLpi=0.083405
tabk(12)=32073.583766+(6331.089666i);    // Vec_kaLpi=0.087376
tabk(13)=33532.926812+(6397.599888i);    // Vec_kaLpi=0.091537
tabk(14)=35061.063134+(6467.085169i);    // Vec_kaLpi=0.095896
tabk(15)=36660.555852+(6539.858945i);    // Vec_kaLpi=0.100462
tabk(16)=529836.897630+(824301.916780i);    // Vec_kaLpi=0.105245
tabk(17)=543655.398110+(848747.929420i);    // Vec_kaLpi=0.110257
tabk(18)=537986.763030+(833048.906720i);    // Vec_kaLpi=0.115506
tabk(19)=531710.233650+(825315.155310i);    // Vec_kaLpi=0.121006
tabk(20)=535011.014250+(823971.382260i);    // Vec_kaLpi=0.126768
tabk(21)=537449.389160+(825837.657120i);    // Vec_kaLpi=0.132804
tabk(22)=545102.973360+(821186.851620i);    // Vec_kaLpi=0.139128
tabk(23)=542858.147290+(824974.379640i);    // Vec_kaLpi=0.145753
tabk(24)=540448.239400+(825299.235340i);    // Vec_kaLpi=0.152693
tabk(25)=540087.180430+(823716.569190i);    // Vec_kaLpi=0.159963
tabk(26)=541332.990110+(821908.881340i);    // Vec_kaLpi=0.167580
tabk(27)=543686.468040+(820125.904640i);    // Vec_kaLpi=0.175560
tabk(28)=546958.552890+(818450.075280i);    // Vec_kaLpi=0.183919
tabk(29)=550815.283620+(816611.263850i);    // Vec_kaLpi=0.192676
tabk(30)=547952.367910+(821071.141700i);    // Vec_kaLpi=0.201851
tabk(31)=551737.856680+(818365.555310i);    // Vec_kaLpi=0.211462
tabk(32)=555351.447940+(813386.001060i);    // Vec_kaLpi=0.221531
tabk(33)=543535.985370+(819085.702910i);    // Vec_kaLpi=0.232079
tabk(34)=545729.702610+(817808.800560i);    // Vec_kaLpi=0.243130
tabk(35)=547890.342770+(816432.698320i);    // Vec_kaLpi=0.254707
tabk(36)=550018.186970+(814977.677120i);    // Vec_kaLpi=0.266835
tabk(37)=552107.403270+(813435.954230i);    // Vec_kaLpi=0.279541
tabk(38)=554151.373500+(811827.418680i);    // Vec_kaLpi=0.292851
tabk(39)=556140.809540+(810146.412570i);    // Vec_kaLpi=0.306795
tabk(40)=558057.800760+(808382.406830i);    // Vec_kaLpi=0.321404
tabk(41)=559899.744760+(806530.710010i);    // Vec_kaLpi=0.336708
tabk(42)=561651.830040+(804557.385390i);    // Vec_kaLpi=0.352740
tabk(43)=563339.458860+(802448.891400i);    // Vec_kaLpi=0.369536
tabk(44)=564969.393730+(800181.655730i);    // Vec_kaLpi=0.387132
tabk(45)=566552.166630+(797742.793200i);    // Vec_kaLpi=0.405565
tabk(46)=568116.038490+(795135.006440i);    // Vec_kaLpi=0.424877
tabk(47)=569657.675970+(792353.662620i);    // Vec_kaLpi=0.445108
tabk(48)=571200.357100+(789401.598850i);    // Vec_kaLpi=0.466302
tabk(49)=572739.014630+(786277.663840i);    // Vec_kaLpi=0.488505
tabk(50)=574277.625540+(782982.911100i);    // Vec_kaLpi=0.511766
tabk(51)=575809.522260+(779506.359320i);    // Vec_kaLpi=0.536134
tabk(52)=577331.650600+(775844.214030i);    // Vec_kaLpi=0.561662
tabk(53)=578855.113250+(771990.157850i);    // Vec_kaLpi=0.588406
tabk(54)=570429.250730+(778039.638680i);    // Vec_kaLpi=0.616423
tabk(55)=572070.272480+(774024.861470i);    // Vec_kaLpi=0.645775
tabk(56)=573665.632920+(769766.188040i);    // Vec_kaLpi=0.676524
tabk(57)=575194.332580+(765238.377640i);    // Vec_kaLpi=0.708737
tabk(58)=576641.413810+(760410.026890i);    // Vec_kaLpi=0.742484
tabk(59)=577981.973620+(755248.528310i);    // Vec_kaLpi=0.777838
tabk(60)=579177.348460+(749708.332340i);    // Vec_kaLpi=0.814875
tabk(61)=580199.605260+(743733.582300i);    // Vec_kaLpi=0.853676
tabk(62)=580999.088580+(737249.194220i);    // Vec_kaLpi=0.894325
tabk(63)=581513.394370+(730152.717720i);    // Vec_kaLpi=0.936909
tabk(64)=581694.122400+(722310.941800i);    // Vec_kaLpi=0.981520
tabk(65)=581486.594590+(713541.504380i);    // Vec_kaLpi=1.028256
tabk(66)=580860.498410+(703615.089070i);    // Vec_kaLpi=1.077217
tabk(67)=579831.957870+(692244.374150i);    // Vec_kaLpi=1.128510
tabk(68)=578463.209420+(679108.586510i);    // Vec_kaLpi=1.182245
tabk(69)=576906.697000+(663857.492060i);    // Vec_kaLpi=1.238538
tabk(70)=607252.627790+(618471.085080i);    // Vec_kaLpi=1.297512
tabk(71)=609704.610700+(598319.481750i);    // Vec_kaLpi=1.359294
tabk(72)=651281.442890+(558242.679260i);    // Vec_kaLpi=1.424018
tabk(73)=617036.932290+(555621.572990i);    // Vec_kaLpi=1.491824
tabk(74)=622952.189760+(555189.379890i);    // Vec_kaLpi=1.562858
tabk(75)=625029.966940+(501589.985630i);    // Vec_kaLpi=1.637275
tabk(76)=629836.898120+(467141.410730i);    // Vec_kaLpi=1.715235
tabk(77)=644165.216170+(429722.070390i);    // Vec_kaLpi=1.796907
tabk(78)=658939.737780+(379646.841660i);    // Vec_kaLpi=1.882468
tabk(79)=765506.618550+(254366.965550i);    // Vec_kaLpi=1.972103
tabk(80)=702601.230730+(108027.715440i);    // Vec_kaLpi=2.066006
tabk(81)=688912.787900+(79004.563332i);    // Vec_kaLpi=2.164381
tabk(82)=741926.219010+(57641.887320i);    // Vec_kaLpi=2.267439
tabk(83)=795567.259460+(89056.417351i);    // Vec_kaLpi=2.375405
tabk(84)=1131880.906700+(206259.437990i);    // Vec_kaLpi=2.488512
tabk(85)=839792.010390+(-200851.696420i);    // Vec_kaLpi=2.607004
tabk(86)=816314.621990+(50008.062729i);    // Vec_kaLpi=2.731139
tabk(87)=891348.932680+(36809.450330i);    // Vec_kaLpi=2.861184
tabk(88)=939413.102970+(49793.822394i);    // Vec_kaLpi=2.997421
tabk(89)=989527.523540+(38132.360507i);    // Vec_kaLpi=3.140146
tabk(90)=1054798.633000+(48321.798193i);    // Vec_kaLpi=3.289666
tabk(91)=1042074.227300+(-119827.255520i);    // Vec_kaLpi=3.446306
tabk(92)=1154558.954200+(67963.542843i);    // Vec_kaLpi=3.610405
tabk(93)=1197466.002800+(80412.672823i);    // Vec_kaLpi=3.782317
tabk(94)=1247627.288300+(76100.226768i);    // Vec_kaLpi=3.962414
tabk(95)=1797619.700400+(-673637.393860i);    // Vec_kaLpi=4.151088
tabk(96)=1613077.538200+(467393.467560i);    // Vec_kaLpi=4.348745
tabk(97)=749921.480310+(2699879.587000i);    // Vec_kaLpi=4.555814
tabk(98)=1515219.326300+(32258.474642i);    // Vec_kaLpi=4.772742
tabk(99)=1920691.231400+(229562.220600i);    // Vec_kaLpi=5.000000
